w_mom_52w_no_cta,w_inst_flow_cta,w_pead_no_cta,cagr,vol,sharpe,mdd,calmar
0.5,0.5,0.0,8.78263815758169,12.473171444711753,0.5838641912253446,-24.240769596922185,0.36230855305422355
0.55,0.0,0.45,10.679603913959944,18.308426909136532,0.5013868181858382,-33.660569412431975,0.31727341813818544
0.55,0.05,0.4,10.531972718844763,17.508949093211708,0.5158489336373989,-32.65787784528287,0.3224940937295474
0.55,0.1,0.35,10.372079043854288,16.740195762268094,0.529986576611708,-31.65414902926692,0.32766886370138804
0.55,0.15,0.3,10.199991511866235,16.0065943697694,0.5435254565016864,-30.649750371140716,0.33279199302942364
0.55,0.2,0.25,10.015782345845459,15.313197766191852,0.5561073837005109,-29.64505408661382,0.3378567742390482
0.55,0.25,0.2,9.819527326407162,14.665709723145623,0.5672775122009385,-28.640436982153382,0.34285535980215565
0.55,0.3,0.15,9.611305747799381,14.070469462300398,0.5764772646379955,-27.63628023041642,0.3477785601993282
0.55,0.35,0.1,9.391200372335895,13.534372295913212,0.5830488625407987,-26.63296913948814,0.35261559922779173
0.55,0.4,0.05,9.15929738331509,13.064700890113526,0.5862589161234548,-25.630892916107385,0.3573538156978938
0.55,0.45,-0.0,8.915686336454943,12.668845196022346,0.5853482477458367,-24.63044442308191,0.36197829739928655
0.6,0.0,0.4,10.636900572085729,17.806633163375867,0.5131178077435897,-33.04339781734079,0.32190698519822336
